"path","category","extension","size_bytes","line_count","likely_binary","secret_hits","destructive_hits","network_hits","auth_hits","legacy_hits","notes"
"packages/package/remove/removepackage-znc","packages","[noext]","193","10","False","0","0","0","0","0",""
"packages/plugin/install/installplugin-autodl-irssi","packages","[noext]","1621","50","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-autotools","packages","[noext]","1674","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-checkport","packages","[noext]","1677","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-chunks","packages","[noext]","1672","55","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-cookies","packages","[noext]","1660","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-cpuload","packages","[noext]","1660","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-create","packages","[noext]","1653","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-data","packages","[noext]","1639","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-datadir","packages","[noext]","1660","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-diskspace","packages","[noext]","1674","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-diskspaceh","packages","[noext]","1680","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-edit","packages","[noext]","1639","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-erasedata","packages","[noext]","1674","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-extratio","packages","[noext]","1669","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-extsearch","packages","[noext]","1674","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-feeds","packages","[noext]","1646","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-filedrop","packages","[noext]","1667","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-filemanager","packages","[noext]","1688","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-fileshare","packages","[noext]","1921","59","False","0","1","3","0","1",""
"packages/plugin/install/installplugin-fileupload","packages","[noext]","1681","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-geoip","packages","[noext]","1646","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-getdir","packages","[noext]","1658","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-history","packages","[noext]","1660","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-httprpc","packages","[noext]","1660","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-ipad","packages","[noext]","1639","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-loginmgr","packages","[noext]","1667","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-logoff","packages","[noext]","1653","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-lookat","packages","[noext]","1653","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-mediainfo","packages","[noext]","1674","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-mobile","packages","[noext]","1653","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-noty","packages","[noext]","1679","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-pausewebui","packages","[noext]","1681","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-ratio","packages","[noext]","1646","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-ratiocolor","packages","[noext]","1681","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-retrackers","packages","[noext]","1681","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-rpc","packages","[noext]","1632","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-rss","packages","[noext]","1632","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-rssurlrewrite","packages","[noext]","1702","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-rutracker_check","packages","[noext]","1716","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-scheduler","packages","[noext]","1674","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-screenshots","packages","[noext]","1688","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-seedingtime","packages","[noext]","1688","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-show_peers_like_wtorrent","packages","[noext]","1779","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-source","packages","[noext]","1653","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-spectrogram","packages","[noext]","2511","103","False","0","0","2","0","1",""
"packages/plugin/install/installplugin-stream","packages","[noext]","1653","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-task","packages","[noext]","1644","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-theme","packages","[noext]","1646","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-throttle","packages","[noext]","1667","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-tracklabels","packages","[noext]","1688","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-trafic","packages","[noext]","1653","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-unpack","packages","[noext]","1653","54","False","0","0","3","0","1",""
"packages/plugin/install/installplugin-xmpp","packages","[noext]","1639","54","False","0","0","3","0","1",""
"packages/plugin/remove/removeplugin-autodl","packages","[noext]","1416","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-autodl-irssi","packages","[noext]","1367","44","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-autotools","packages","[noext]","1427","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-checkport","packages","[noext]","1432","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-chunks","packages","[noext]","1409","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-cookies","packages","[noext]","1415","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-cpuload","packages","[noext]","1415","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-create","packages","[noext]","1409","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-data","packages","[noext]","1397","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-datadir","packages","[noext]","1415","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-diskspace","packages","[noext]","1427","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-diskspaceh","packages","[noext]","1432","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-edit","packages","[noext]","1397","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-erasedata","packages","[noext]","1427","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-extratio","packages","[noext]","1421","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-extsearch","packages","[noext]","1427","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-feeds","packages","[noext]","1403","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-filedrop","packages","[noext]","1421","48","False","0","1","3","0","1",""
"packages/plugin/remove/removeplugin-filemanager","packages","[noext]","1439","48","False","0","1","3","0","1",""
